Date,Time_UTC,Latitude,Longitude,Depth,Depth Type,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,
2019-03-08,14:48:28,7.14,125.01,29, ,mb,4.5,MINDANAO, PHILIPPINES,2019-03-10 21:33,749491
2019-02-23,04:14:43,14.86,120.22,79, ,mb,4.9,LUZON, PHILIPPINES,2019-02-23 07:59,746757
2019-02-10,14:33:38,9.86,126.31,60, ,Mw,5.2,MINDANAO, PHILIPPINES,2019-02-10 18:41,744186
2019-02-09,22:21:14,9.96,126.4,10, ,mb,5.2,MINDANAO, PHILIPPINES,2019-02-09 23:32,744054
2019-02-08,11:55:06,9.84,126.47,12, ,Mw,5.9,MINDANAO, PHILIPPINES,2019-02-08 14:00,743744
2019-02-06,10:25:20,15.83,120.61,136, ,Mw,5.4,LUZON, PHILIPPINES,2019-02-06 10:44,743272
2019-01-15,20:03:21,5.92,126.94,71, ,Mw,5.7,MINDANAO, PHILIPPINES,2019-01-16 07:48,739170
2018-12-29,03:39:10,5.96,126.76,66, ,Mw,7,MINDANAO, PHILIPPINES,2018-12-29 10:16,735637
2018-11-05,02:54:07,10.73,122.4,10,f,mb,4.9,PANAY, PHILIPPINES,2018-11-05 07:56,723090
2018-11-04,23:46:10,10.92,122.02,30,f,mb,4.7,PANAY, PHILIPPINES,2018-11-05 07:53,723055
2018-09-08,07:16:49,7.25,126.54,10, ,Mw,6.1,MINDANAO, PHILIPPINES,2018-09-08 12:06,711685
2018-08-31,14:40:29,13.56,120.89,145, ,Mw,5.5,MINDORO, PHILIPPINES,2018-08-31 14:59,710267
2018-07-03,09:59:55,5.93,125.21,113, ,Mw,5.6,MINDANAO, PHILIPPINES,2018-07-03 11:48,686828
2018-07-03,04:25:54,14,120.65,141, ,mb,5.4,LUZON, PHILIPPINES,2018-07-03 07:21,686691
2018-06-17,09:46:26,14.94,119.81,40, ,Mw,5.4,LUZON, PHILIPPINES,2018-06-17 18:34,677590
2018-05-10,11:56:58,10.2,125.56,30, ,mb,5.7,LEYTE, PHILIPPINES,2018-05-11 06:36,665197
2018-05-05,06:19:04,14.47,123.92,20, ,Mw,6.1,LUZON, PHILIPPINES,2018-05-07 10:01,663778
2018-02-26,09:39:17,13.59,121.63,10,f,mb,5,MINDORO, PHILIPPINES,2018-02-26 14:35,651037
2018-01-14,15:49:24,13.51,120.55,35, ,mb,5.1,MINDORO, PHILIPPINES,2018-01-14 22:13,641241
2018-01-14,15:20:28,13.46,120.57,35,f,mb,4.9,MINDORO, PHILIPPINES,2018-01-14 22:15,641237
2017-10-22,14:21:01,14.05,120.76,218, ,Mw,5.4,LUZON, PHILIPPINES,2017-10-22 20:19,625674
2017-09-23,20:47:08,7.7,124.85,10, ,Mw,5.7,MINDANAO, PHILIPPINES,2017-09-24 12:44,620129
2017-08-11,05:28:26,13.96,120.69,189, ,Mw,6.2,MINDORO, PHILIPPINES,2017-08-11 06:47,611436
2017-08-05,00:30:42,6.2,125.41,90, ,Mw,5.8,MINDANAO, PHILIPPINES,2017-08-05 09:23,610010
2017-07-10,01:41:49,11.01,124.84,10,f,Mw,5.9,LEYTE, PHILIPPINES,2017-07-10 06:50,604281
2017-07-06,08:03:58,11.11,124.8,10, ,Mw,6.5,LEYTE, PHILIPPINES,2017-07-06 08:27,603516
2017-05-25,14:27:06,15.07,120.38,100, ,mb,5.4,LUZON, PHILIPPINES,2017-05-25 16:38,594284
2017-04-28,20:23:18,5.48,125.08,42,f,Mw,6.8,MINDANAO, PHILIPPINES,2017-04-28 21:23,587607
2017-04-12,20:01:05,7.73,124.9,10, ,Mw,5.5,MINDANAO, PHILIPPINES,2017-04-13 06:33,583553
2017-04-11,21:21:01,7.72,124.87,10,f,Mw,5.8,MINDANAO, PHILIPPINES,2017-04-12 06:44,583291
2017-04-08,15:22:57,13.55,120.85,40, ,mb,4.7,MINDORO, PHILIPPINES,2017-04-09 09:34,582577
2017-04-08,08:36:39,13.68,121.06,40, ,mb,4.7,MINDORO, PHILIPPINES,2017-04-08 10:43,582507
2017-04-08,07:29:15,13.75,121.09,60, ,mb,5,MINDORO, PHILIPPINES,2017-04-08 10:30,582491
2017-04-08,07:09:25,13.79,120.89,24, ,Mw,5.9,MINDORO, PHILIPPINES,2017-04-08 10:28,582484
2017-04-08,07:08:01,13.71,120.92,49, ,Mw,5.5,MINDORO, PHILIPPINES,2017-04-08 10:30,582483
2017-04-04,16:49:03,13.78,120.99,20,f,Mw,4.9,MINDORO, PHILIPPINES,2017-04-10 11:14,581583
2017-04-04,15:13:48,13.77,121.11,20,f,mb,5.2,MINDORO, PHILIPPINES,2017-04-10 11:13,581573
2017-04-04,12:58:47,13.72,121.09,20,f,Mw,5.1,MINDORO, PHILIPPINES,2017-04-10 11:11,581542
2017-03-20,19:42:04,10.46,123.85,46, ,mb,4.3,NEGROS- CEBU REG, PHILIPPINES,2017-04-04 16:49,578122
2017-03-05,00:08:20,9.85,125.54,30, ,Mw,5.7,MINDANAO, PHILIPPINES,2017-03-05 10:00,573824
2017-02-23,11:17:38,7.24,125.58,17, ,mb,4.1,MINDANAO, PHILIPPINES,2017-02-23 22:16,571228
2017-02-23,01:50:15,7.1,125.68,10, ,mb,4.6,MINDANAO, PHILIPPINES,2017-02-23 07:50,571000
2017-02-10,14:03:42,9.83,125.5,10, ,Mw,6.5,MINDANAO, PHILIPPINES,2017-02-10 14:29,567367
2016-11-10,07:11:03,14.8,121.51,40, ,mb,4.8,LUZON, PHILIPPINES,2016-11-10 07:53,544284
2016-10-14,18:29:04,9.13,125.62,40, ,mb,5.3,MINDANAO, PHILIPPINES,2016-10-15 15:33,537001
2016-10-02,13:40:06,16.45,119.76,30,f,mb,5.7,LUZON, PHILIPPINES,2016-10-02 17:21,534730
2016-09-23,22:53:09,6.62,126.57,52, ,Mw,6.4,MINDANAO, PHILIPPINES,2016-09-23 23:51,532785
2016-09-04,02:38:11,8.44,125.92,15,f,Mw,5.7,MINDANAO, PHILIPPINES,2016-09-04 08:55,528478
2016-08-15,11:32:04,10.87,122.24,50, ,mb,5.4,PANAY, PHILIPPINES,2016-08-16 01:07,524003
2016-08-13,14:05:03,11.56,124.44,30,f,Mw,5.2,LEYTE, PHILIPPINES,2016-08-13 19:32,523668
2016-07-26,14:29:07,9.76,125.56,10,f,mb,5.2,MINDANAO, PHILIPPINES,2016-07-27 06:35,520353
2016-07-06,21:00:50,6.85,126.35,80, ,mb,4.9,MINDANAO, PHILIPPINES,2016-07-07 06:38,516753
2016-06-25,06:40:29,6.66,126.16,50,f,mb,5.2,MINDANAO, PHILIPPINES,2016-06-25 08:38,514345
2016-06-10,18:52:10,16.53,121.04,51, ,mb,5.1,LUZON, PHILIPPINES,2016-06-11 12:18,511681
2016-06-09,19:54:39,16.58,121.07,49, ,Mw,5.3,LUZON, PHILIPPINES,2016-06-10 06:26,511472
2015-12-17,12:44:02,17.68,120.71,70, ,Mw,5.3,LUZON, PHILIPPINES,2015-12-17 14:22,477152
2015-11-07,19:40:15,16.51,119.98,60, ,Mw,5.4,LUZON, PHILIPPINES,2015-11-07 23:37,468717
2015-11-06,17:33:23,7.3,125.72,20, ,mb,4.7,MINDANAO, PHILIPPINES,2015-11-07 08:44,468535
2015-10-19,13:50:43,13.87,120.72,123, ,Mw,5.8,MINDORO, PHILIPPINES,2015-10-19 14:25,465424
2015-07-03,06:43:24,10.21,126.04,60, ,Mw,6.1,PHILIPPINE ISLANDS REGION,2015-07-03 07:04,449219,
2015-03-30,01:47:55,9.58,124.36,30,f,mb,4.9,BOHOL, PHILIPPINES,2015-03-30 06:59,434327
2015-01-10,19:32:03,14.81,120.31,80, ,Mw,5.8,LUZON, PHILIPPINES,2015-01-11 04:23,421924
2014-12-31,09:26:25,13.83,120.74,129, ,Mw,5.5,MINDORO, PHILIPPINES,2014-01-05 09:16,415661
2014-10-03,08:05:47,11.35,122.32,30,f,Mw,5.5,PANAY, PHILIPPINES,2014-10-03 13:55,402595
2014-09-03,13:43:59,15.16,122.59,10, ,Mw,5.1,PHILIPPINE ISLANDS REGION,2014-09-03 14:59,398248,
2014-06-25,11:52:04,13.68,120.72,80, ,Mw,5.4,MINDORO, PHILIPPINES,2014-06-25 13:31,387391
2014-05-15,10:16:43,9.41,122.14,20,f,Mw,6.2,NEGROS, PHILIPPINES,2014-05-15 12:36,378290
2014-01-12,13:07:51,5.86,125.67,141, ,mb,5,MINDANAO, PHILIPPINES,2014-01-12 15:22,352557
2013-12-18,14:46:12,16.07,120.87,60,f,mb,4.9,LUZON, PHILIPPINES,2013-12-18 16:00,348638
2013-12-03,23:58:54,6.68,126.21,75, ,Mw,5.6,MINDANAO, PHILIPPINES,2013-12-04 08:29,346638
2013-11-12,05:21:27,9.83,124.36,60, ,mb,4.7,BOHOL, PHILIPPINES,2013-11-12 07:56,343324
2013-11-01,13:58:45,9.86,124.22,45, ,mb,5,BOHOL, PHILIPPINES,2013-11-01 21:00,341897
2013-10-20,08:05:40,9.89,123.8,10, ,mb,5.3,NEGROS- CEBU REG, PHILIPPINES,2013-10-20 11:30,339981
2013-10-19,20:40:41,10.19,124.27,10,f,mb,5,LEYTE, PHILIPPINES,2013-10-20 12:08,339892
2013-10-15,00:12:33,9.92,124.1,15,f,Mw,7.1,BOHOL, PHILIPPINES,2013-10-15 11:21,339139
2013-04-04,02:27:07,15.88,121.74,46, ,mb,5.3,LUZON, PHILIPPINES,2013-04-04 08:17,311131
2012-11-14,05:21:43,10.01,122.49,40, ,Mw,5.6,PANAY, PHILIPPINES,2012-11-14 08:04,292559
2012-08-31,12:47:32,10.86,126.68,20,f,Mw,7.6,PHILIPPINE ISLANDS REGION,2012-08-31 13:35,283513,
2012-02-06,03:49:17,10.06,123.27,40, ,Mw,6.7,NEGROS- CEBU REG, PHILIPPINES,2012-02-06 09:41,254200
2011-07-25,17:15:44,14.99,120.15,60, ,Mw,6,LUZON, PHILIPPINES,2011-07-25 18:11,230179
